symbol,threshold,status,cluster,timeframe,n_trades,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,win_rate,expectancy_pct,avg_bars_held,n_folds
DOGEUSD,0.5,ok,crypto,H4,342,-26204.26,28766.89,28.77,-2.04,-0.91,0.69,21.6,-0.6134,9.2,50
DOGEUSD,0.51,ok,crypto,H4,343,-26699.92,29262.56,29.26,-2.09,-0.91,0.68,21.9,-0.6358,9.1,50
DOGEUSD,0.52,ok,crypto,H4,338,-28383.6,30946.23,30.95,-2.26,-0.92,0.66,21.9,-0.6861,9.2,50
DOGEUSD,0.53,ok,crypto,H4,333,-27919.01,30481.65,30.48,-2.22,-0.92,0.67,22.2,-0.6787,9.4,50
DOGEUSD,0.54,ok,crypto,H4,333,-26030.58,28580.08,28.58,-2.06,-0.91,0.69,22.8,-0.608,9.4,50
DOGEUSD,0.55,ok,crypto,H4,326,-16645.44,22099.19,22.1,-1.25,-0.75,0.79,24.2,-0.3186,9.5,50
DOGEUSD,0.56,ok,crypto,H4,322,-16634.44,22088.18,22.09,-1.28,-0.75,0.79,24.5,-0.2942,9.6,50
DOGEUSD,0.57,ok,crypto,H4,323,-11591.68,17201.0,17.2,-0.89,-0.67,0.85,25.7,-0.1213,9.5,50
DOGEUSD,0.58,ok,crypto,H4,320,-13429.17,20401.52,20.4,-0.99,-0.66,0.83,25.6,-0.2015,9.6,50
DOGEUSD,0.59,ok,crypto,H4,320,-15385.39,21764.56,21.76,-1.15,-0.71,0.81,25.3,-0.2529,9.5,50
DOGEUSD,0.6,ok,crypto,H4,316,-13008.8,19300.34,19.3,-1.0,-0.67,0.83,25.6,-0.1454,9.6,50
DOGEUSD,0.61,ok,crypto,H4,315,-9936.14,17182.41,17.18,-0.78,-0.58,0.86,26.3,-0.0412,9.5,50
DOGEUSD,0.62,ok,crypto,H4,307,-8855.46,16022.83,16.02,-0.69,-0.55,0.88,27.0,-0.0055,9.8,50
DOGEUSD,0.63,ok,crypto,H4,304,-9913.6,16184.21,16.18,-0.79,-0.61,0.86,27.0,0.0021,9.8,50
DOGEUSD,0.64,ok,crypto,H4,300,-10416.37,16797.42,16.8,-0.84,-0.62,0.85,26.7,0.016,9.9,50
DOGEUSD,0.65,ok,crypto,H4,297,-11972.45,17780.93,17.78,-0.97,-0.67,0.83,25.6,-0.1421,9.9,50
DOGEUSD,0.66,ok,crypto,H4,292,-5156.97,11988.48,11.99,-0.42,-0.43,0.92,27.4,0.1133,10.0,50
